Journal Name,ISSN,ISSN Online,Start year,www,ABDC FoR code,ABDC Ranking
4OR: Quarterly Journal of Operations Research,1619-4500,1614-2411,2003.0,http://www.springerlink.com/,1503,B
A St A - Advances in Statistical Analysis,1863-8171,1863-818X,1890.0,http://www.springerlink.com/,1403,C
AACE International Transactions,1528-7106,,1967.0,http://www.aacei.org/,1503,B
"Abacus: a journal of accounting, finance and business studies",0001-3072,1467-6281,1965.0,http://www.wiley.com/,1501,A
Academia Economic Papers,1018-161X,,1973.0,http://www.sinica.edu.tw/,1402,C
Academy of Accounting and Financial Studies Journal,1096-3685,,1997.0,http://www.alliedacademies.org/,1501,C
Academy of Business and Economics. Journal,1542-8710,,2003.0,,1402,C
Academy of Entrepreneurship Journal,1087-9595,1528-2686,1995.0,http://www.alliedacademies.org/,1503,C
Academy of Information and Management Sciences Journal,1524-7252,1532-5806,1998.0,http://www.proquest.com/,806,C
Academy of Management Journal,0001-4273,,1958.0,http://journals.aomonline.org/amj/,1503,A*
Academy of Management Learning and Education,1537-260X,1944-9585,2002.0,http://aom.pace.edu/amle/,1503,A*
Academy of Management Review,0363-7425,1930-3807,1976.0,http://journals.aomonline.org/amr/,1503,A*
Academy of Marketing Science Review,1526-1794,,1997.0,http://www.proquest.co.uk/en-UK/,1505,B
Academy of Marketing Studies Journal,1095-6298,1528-2678,1980.0,http://www.proquest.co.uk/en-UK/,1505,C
Academy of Taiwan Business Management Review,1813-0534,,2005.0,http://www.jtiba.com/,1502,B
Accident Analysis and Prevention,0001-4575,1879-2057,1969.0,http://www.sciencedirect.com/,1507,A*
Accountancy Business and the Public Interest,1754-7718,,2002.0,,1501,C
Accounting Accountability and Performance,1445-954X,,1995.0,http://search.informit.com.au/,1501,C
Accounting and Business Research,0001-4788,,1970.0,,1501,A
Accounting and Finance,0810-5391,1467-629X,1960.0,http://www.wiley.com/,1501,A
Accounting and Taxation,1944-529X,,2007.0,www.theIBFR.com,1501,C
Accounting and the Public Interest,1530-9320,,2001.0,http://www.aaapubs.org/api/,1501,B
Accounting Auditing and Accountability Journal,0951-3574,1758-4205,1987.0,http://www.emeraldinsight.com/,1501,A
Accounting Commerce and Finance: The Islamic Perspective Journal,1328-8261,,1997.0,,1502,C
Accounting Education: An International Journal,0963-9284,1468-4489,1992.0,http://www.informaworld.com/,1501,B
Accounting Educators' Journal,1041-0392,,1988.0,,1501,C
Accounting Forum,0155-9982,1467-6303,1978.0,http://www.elsevier.com/,1501,C
Accounting Historians Journal,0148-4184,,1974.0,,1501,B
Accounting History,1032-3732,1749-3374,1996.0,http://www.uk.sagepub.com/,1501,C
Accounting Horizons,0888-7993,1558-7975,1987.0,http://aaahq.org/pubs/horizons.htm,1501,A
Accounting in Europe,1744-9480,1744-9499,2004.0,http://www.tandf.co.uk/,1501,B
Accounting Perspectives,1911-382X,1911-3838,2001.0,http://www.caaa.ca/,1501,C
Accounting Research Journal,1030-9616,,1988.0,http://info.emeraldinsight.com/,1501,C
"Accounting, Business and Financial History",0958-5206,1466-4275,1990.0,http://www.ebscohost.com/,1501,C
"Accounting, Organizations and Society",0361-3682,1873-6289,1976.0,http://www.sciencedirect.com/,1501,A*
ACM Transactions on Asian Language Information Processing,1530-0226,1558-3430,,http://talip.acm.org/,806,B
ACM Transactions on Computer - Human Interaction,1073-0516,1557-7325,1994.0,http://portal.acm.org/,806,A*
ACM Transactions on Information Systems,1046-8188,1558-2868,1983.0,http://tois.acm.org/,806,A*
ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,1991.0,http://portal.acm.org/,1503,B
Acta Mathematicae Applicandae Sinica,0168-9673,1618-3932,1984.0,http://www.springerlink.com/,1503,C
Acta Oeconomica,0001-6373,,1966.0,http://www.akademiai.com/,1499,C
Acta Psychologica,0001-6918,1873-6297,1941.0,http://www.sciencedirect.com/,1503,A
Acta Turistica,0353-4316,,1989.0,http://www.ebscohost.com/,1506,C
"Acta Universitatis Bohemiae Meridionales: vedecky casopis pro ekonomiku, rizeni a obchod",1212-3285,,1998.0,,1402,C
Action Learning and Action Research Journal,1326-964X,,1996.0,http://www.alara.net.au/,1503,C
Action Research International,1445-6125,,1998.0,http://www.scu.edu.au/,1503,A
Active Learning in Higher Education,1469-7874,1741-2625,2000.0,http://alh.sagepub.com/,1503,C
Actuarial Research Clearinghouse,0732-5428,,2004.0,http://www.soa.org/,1502,C
Adelaide Law Review,0065-1915,,1960.0,http://search.informit.com.au/,180105,A
Administration and Society,0095-3997,1552-3039,1969.0,http://aas.sagepub.com/,1503,B
Administrative Science Quarterly,0001-8392,1930-3815,1956.0,http://www.johnson.cornell.edu/publications/asq,1503,A*
Administrative Theory and Praxis: a quarterly journal of dialogue in public administration theory,1084-1806,1949-0461,1993.0,http://www.ebscohost.com/,1503,B
Advances and Applications in Statistics,0972-3617,,2001.0,http://pphmj.com/journals/adas.htm,1403,C
Advances in Accounting,0882-6110,1046-5715,1984.0,http://www.sciencedirect.com/,1501,C
Advances in Accounting Behavioral Research,1475-1488,,1998.0,http://www.emeraldinsight.com/,1501,C
Advances in Accounting Education: teaching and curriculum innovations,1527-893X,,1996.0,http://www.emeraldinsight.com/,1501,C
Advances in Applied Mathematics,0196-8858,1090-2074,1980.0,http://www.elsevier.com/,1403,A
Advances in Applied Probability,0001-8678,1475-6064,1969.0,http://www.appliedprobability.org/,1403,A
Advances in Consumer Research,0098-9258,,1974.0,http://www.acrwebsite.org/,1505,C
Advances in Developing Human Resources,1523-4223,1552-3055,2001.0,http://www.sagepub.com/,1503,C
Advances in Financial Education,1553-9784,,2003.0,,1502,B
Advances in Futures and Options Research,1048-1559,,1986.0,http://www.emeraldinsight.com/,1502,C
Advances in International Management,1571-5027,,1984.0,http://www.emeraldinsight.com/,1503,C
Advances in International Marketing,1474-7979,,1986.0,http://www.emeraldinsight.com/,1505,C
Advances in Management Accounting,1474-7871,,1992.0,http://www.emeraldinsight.com/,1501,C
Advances in Public Interest Accounting,1041-7060,,1986.0,http://www.emeraldinsight.com/,1501,C
Advances in Quantitative Analysis of Finance and Accounting,1061-8910,,1991.0,http://www.emeraldinsight.com/,1502,B
Advances in Strategic Management,0742-3322,,1983.0,http://www.elsevier.com/,1503,C
Advances in Taxation,1058-7497,,1987.0,http://www.emeraldinsight.com/,180125,B
Advancing Women in Leadership,1093-7099,,,http://www.advancingwomen.com/awl/awl.html,1503,C
Advertising and Society Review,1534-7311,,2000.0,http://muse.jhu.edu/,1505,C
Afaq Iqtisadiyyah,1024-266X,,1980.0,,1402,C
Africa Development/Afrique et Developpement,0850-3907,,1976.0,,1499,C
African Economic History,0145-2258,,1974.0,http://africa.wisc.edu/publications/aeh/index.htm,1402,C
"African Journal of Accounting, Economics, Finance and Banking Research",1933-3404,1933-3463,2007.0,http://globip.com/africanjournal.htm,1502,C
African Journal of Business and Economic Research,1750-4554,1750-4562,2006.0,http://adonisandabbey.com/,1402,C
African Population Studies,0850-5780,,,http://www.bioline.org.br/ep,1499,C
Afrika Spectrum: Zeitschrift fuer gegenwartsbezogene Afrikaforschung,0002-0397,,1966.0,http://hup.sub.uni-hamburg.de/giga/afsp,1402,C
Afro-Asian Journal of Finance and Accounting,1751-6447,1751-6455,2008.0,http://www.inderscience.com/,1502,C
AgBioForum,1522-936X,,1998.0,http://www.agbioforum.org/,1402,C
Agenda: a journal of policy analysis and reform,1322-1833,1447-4735,1994.0,http://agenda.anu.edu.au/,1402,B
Agrekon,0303-1853,,1962.0,http://www.journals.co.za/,1503,C
Agribusiness (New York): an international journal,0742-4477,1520-6297,1984.0,http://www3.interscience.wiley.com/,1402,C
Agricultural and Resource Economics Review,1068-2805,,1972.0,http://www.narea.org/journal.htm,1402,B
Agricultural Economics,0169-5150,1574-0862,1986.0,http://www.sciencedirect.com/,1402,A
Agricultural Finance Review,0002-1466,,1938.0,http://www.emeraldinsight.com/,1502,C
