Title,Year,Type,Journal,Article URL,Researcher Name,Profile URL
Why some companies weather trade wars better than others,2025,Contribution to specialist publication,N/A,https://researchportalplus.anu.edu.au/en/publications/why-some-companies-weather-trade-wars-better-than-others,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Ambidexterity in strategic alliances: An integrative review of the literature,2024,Contribution to journal,International Journal of Management Reviews,https://researchportalplus.anu.edu.au/en/publications/ambidexterity-in-strategic-alliances-an-integrative-review-of-the,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Board Gender Diversity Reforms Around the World: The Impact on Corporate Innovation,2024,Contribution to journal,Organization Science,https://researchportalplus.anu.edu.au/en/publications/board-gender-diversity-reforms-around-the-world-the-impact-on-cor,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Employee Ownership and Firm Digital Transformation,2024,Contribution to journal,British Journal of Management,https://researchportalplus.anu.edu.au/en/publications/employee-ownership-and-firm-digital-transformation,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
International Entrepreneurial Spin-Offs: An Ambidextrous Approach to Internationalization,2024,Contribution to journal,Management and Organization Review,https://researchportalplus.anu.edu.au/en/publications/international-entrepreneurial-spin-offs-an-ambidextrous-approach-,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Inward FDI and local firms' political connections in emerging markets: Evidence from China,2024,Contribution to journal,Global Strategy Journal,https://researchportalplus.anu.edu.au/en/publications/inward-fdi-and-local-firms-political-connections-in-emerging-mark,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Locking in overseas buyers amid geopolitical conflicts,2024,Contribution to journal,Journal of Operations Management,https://researchportalplus.anu.edu.au/en/publications/locking-in-overseas-buyers-amid-geopolitical-conflicts,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Strategic configurations: exploring MNEs’ commitment reduction in an emerging economy,2024,Contribution to journal,Asia Pacific Journal of Management,https://researchportalplus.anu.edu.au/en/publications/strategic-configurations-exploring-mnes-commitment-reduction-in-a,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Following their predecessors’ journey? A review of EMNE studies and avenues for interdisciplinary inquiry,2023,Contribution to journal,Journal of World Business,https://researchportalplus.anu.edu.au/en/publications/following-their-predecessors-journey-a-review-of-emne-studies-and,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
"Government policy, filial piety, and foreign direct investment",2023,Contribution to journal,Global Strategy Journal,https://researchportalplus.anu.edu.au/en/publications/government-policy-filial-piety-and-foreign-direct-investment,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Social Comparison Inside Business Groups and Strategic Change: Evidence from Group-affiliated Chinese Firms,2023,Contribution to journal,Journal of Management Studies,https://researchportalplus.anu.edu.au/en/publications/social-comparison-inside-business-groups-and-strategic-change-evi,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Winning intellectual property rights lawsuits in China,2023,Contribution to journal,Journal of World Business,https://researchportalplus.anu.edu.au/en/publications/winning-intellectual-property-rights-lawsuits-in-china,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
A Wolf in Sheep’s Clothing: Exploring the Relationship Between Leader Humility and Unethical Behavior,2022,Contribution to journal,Journal of Management,https://researchportalplus.anu.edu.au/en/publications/a-wolf-in-sheeps-clothing-exploring-the-relationship-between-lead,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
How state and market logics influence firm strategy from within and outside? Evidence from Chinese financial intermediary firms,2022,Contribution to journal,Asia Pacific Journal of Management,https://researchportalplus.anu.edu.au/en/publications/how-state-and-market-logics-influence-firm-strategy-from-within-a,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
How to innovate continuously? Conceptualizing generative capability,2022,Contribution to journal,Journal of Innovation and Knowledge,https://researchportalplus.anu.edu.au/en/publications/how-to-innovate-continuously-conceptualizing-generative-capabilit,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
OFDI performance of EMNEs: A review and recommendations for future research,2022,Contribution to journal,Journal of International Management,https://researchportalplus.anu.edu.au/en/publications/ofdi-performance-of-emnes-a-review-and-recommendations-for-future,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Political Capital and MNE Responses to Institutional Voids: The case of Chinese state-owned enterprises in Africa,2022,Contribution to journal,Organization Studies,https://researchportalplus.anu.edu.au/en/publications/political-capital-and-mne-responses-to-institutional-voids-the-ca,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Strategic Configurations and International Performance of Emerging Economy Multinationals,2022,Contribution to journal,Management and Organization Review,https://researchportalplus.anu.edu.au/en/publications/strategic-configurations-and-international-performance-of-emergin,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
What Motivates Emerging Economy Firms to Internationalize? A Replication and Extension of Ahsan et al. (2020) in the Context of China,2022,Contribution to journal,Management and Organization Review,https://researchportalplus.anu.edu.au/en/publications/what-motivates-emerging-economy-firms-to-internationalize-a-repli,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Business incubators as international knowledge intermediaries: Exploring their role in the internationalization of start-ups from an emerging market,2021,Contribution to journal,Journal of International Management,https://researchportalplus.anu.edu.au/en/publications/business-incubators-as-international-knowledge-intermediaries-exp,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
"Experience base, strategy-by-doing and new product performance",2021,Contribution to journal,Strategic Management Journal,https://researchportalplus.anu.edu.au/en/publications/experience-base-strategy-by-doing-and-new-product-performance,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
"Seeing is not believing: Leader humility, hypocrisy, and their impact on followers' behaviors",2021,Contribution to journal,Leadership Quarterly,https://researchportalplus.anu.edu.au/en/publications/seeing-is-not-believing-leader-humility-hypocrisy-and-their-impac,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Subnational corruption and foreign firms’ performance: Evidence from China,2021,Contribution to journal,Journal of Business Research,https://researchportalplus.anu.edu.au/en/publications/subnational-corruption-and-foreign-firms-performance-evidence-fro,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Enabling SMEs’ Learning from Global Value Chains: Linking the Logic of Power and the Logic of Embeddedness of Interfirm Relations,2020,Contribution to journal,Management International Review,https://researchportalplus.anu.edu.au/en/publications/enabling-smes-learning-from-global-value-chains-linking-the-logic,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Focused and ambidextrous catch-up strategies of emerging economy multinationals,2020,Contribution to journal,International Business Review,https://researchportalplus.anu.edu.au/en/publications/focused-and-ambidextrous-catch-up-strategies-of-emerging-economy-,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Regional competitiveness for attracting and retaining foreign direct investment: a configurational analysis of Chinese provinces,2020,Contribution to journal,Regional Studies,https://researchportalplus.anu.edu.au/en/publications/regional-competitiveness-for-attracting-and-retaining-foreign-dir,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Social entrepreneurship and well-being: The configurational impact of institutions and social capital,2020,Contribution to journal,Asia Pacific Journal of Management,https://researchportalplus.anu.edu.au/en/publications/social-entrepreneurship-and-well-being-the-configurational-impact,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
What attracts foreign direct investment into autocratic states? Regime time horizon and institutional design,2020,Contribution to journal,World Economy,https://researchportalplus.anu.edu.au/en/publications/what-attracts-foreign-direct-investment-into-autocratic-states-re,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
What drives firms' intent to seek strategic assets by foreign direct investment? A study of emerging economic firms,2020,Chapter in Book/Report/Conference proceeding,N/A,https://researchportalplus.anu.edu.au/en/publications/what-drives-firms-intent-to-seek-strategic-assets-by-foreign-dire-2,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Knowledge search and firm innovation: The moderating role of organizational aspirations,2019,Contribution to conference,N/A,https://researchportalplus.anu.edu.au/en/publications/knowledge-search-and-firm-innovation-the-moderating-role-of-organ,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Outward FDI and profitability of emerging economy firms: Diversifying from home resource dependence in early stage internationalization,2019,Contribution to journal,Journal of World Business,https://researchportalplus.anu.edu.au/en/publications/outward-fdi-and-profitability-of-emerging-economy-firms-diversify,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
State capitalism and performance persistence of business group-affiliated firms: A comparative study of China and India,2019,Contribution to journal,Journal of International Business Studies,https://researchportalplus.anu.edu.au/en/publications/state-capitalism-and-performance-persistence-of-business-group-af,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
What determines the entrepreneurial success of academics? Navigating multiple social identities in the hybrid career of academic entrepreneurs,2019,Contribution to journal,Journal of Vocational Behavior,https://researchportalplus.anu.edu.au/en/publications/what-determines-the-entrepreneurial-success-of-academics-navigati,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Corporate political connections in global strategy,2018,Contribution to journal,Global Strategy Journal,https://researchportalplus.anu.edu.au/en/publications/corporate-political-connections-in-global-strategy,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Explicating the relationship of entrepreneurial orientation and firm performance: Underlying mechanisms in the context of an emerging market,2018,Contribution to journal,Industrial Marketing Management,https://researchportalplus.anu.edu.au/en/publications/explicating-the-relationship-of-entrepreneurial-orientation-and-f,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
The Influence of Top Management Team on Chinese Firms' FDI Ambidexterity,2018,Contribution to journal,Management and Organization Review,https://researchportalplus.anu.edu.au/en/publications/the-influence-of-top-management-team-on-chinese-firms-fdi-ambidex,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Who rides the tide of regionalization: Examining the effect of the China-ASEAN Free Trade Area on the exports of Chinese firms,2018,Contribution to journal,International Business Review,https://researchportalplus.anu.edu.au/en/publications/who-rides-the-tide-of-regionalization-examining-the-effect-of-the,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Acquisition or greenfield entry into Africa? Responding to institutional dynamics in an emerging continent,2017,Contribution to journal,Global Strategy Journal,https://researchportalplus.anu.edu.au/en/publications/acquisition-or-greenfield-entry-into-africa-responding-to-institu,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
