Title,Year,Type,Journal,Article URL,Researcher Name,Profile URL
"Impact of reporting information security breaches, accounting quality, and the opportunistic disclosure of good news and bad news",2025,Contribution to journal,International Journal of Accounting Information Systems,https://research.monash.edu/en/publications/impact-of-reporting-information-security-breaches-accounting-qual,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Accounting curricula and climate-related sustainability: evidence from Australia and New Zealand universities,2024,Contribution to journal,Accounting Education,https://research.monash.edu/en/publications/accounting-curricula-and-climate-related-sustainability-evidence-,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Board roles required for IT governance to become an integral component of corporate governance,2024,Contribution to journal,International Journal of Accounting Information Systems,https://research.monash.edu/en/publications/board-roles-required-for-it-governance-to-become-an-integral-comp,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
"PhD students’ relatedness, motivation, and well-being with multiple supervisors",2024,Contribution to journal,Accounting Education,https://research.monash.edu/en/publications/phd-students-relatedness-motivation-and-well-being-with-multiple-,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Reflections on the Journal of Information Systems and suggested future initiatives,2024,Contribution to journal,The Journal of Information Systems,https://research.monash.edu/en/publications/reflections-on-the-ijournal-of-information-systemsi-and-suggested,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Identity in doctoral supervision: perspectives on agency and structure,2023,Contribution to journal,The Journal of Higher Education,https://research.monash.edu/en/publications/identity-in-doctoral-supervision-perspectives-on-agency-and-struc,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
A picture is worth a thousand journal entries: accounting graph topology for auditing and fraud detection,2022,Contribution to journal,The Journal of Information Systems,https://research.monash.edu/en/publications/a-picture-is-worth-a-thousand-journal-entries-accounting-graph-to,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Developing critical reflection: an integrated approach,2022,Contribution to journal,The British Accounting Review,https://research.monash.edu/en/publications/developing-critical-reflection-an-integrated-approach,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Stakeholders’ perceptions of digital health platform ecosystem generativity,2022,Chapter in Book/Report/Conference proceeding,N/A,https://research.monash.edu/en/publications/stakeholders-perceptions-of-digital-health-platform-ecosystem-gen,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Big data prioritization in SCM decision-making: its role and performance implications,2020,Contribution to journal,International Journal of Accounting Information Systems,https://research.monash.edu/en/publications/big-data-prioritization-in-scm-decision-making-its-role-and-perfo,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Current issues in PhD supervision of accounting and finance students: evidence from Australia and New Zealand,2020,Contribution to journal,The British Accounting Review,https://research.monash.edu/en/publications/current-issues-in-phd-supervision-of-accounting-and-finance-stude,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Information technology governance: reflections on the past and future directions,2020,Contribution to journal,The Journal of Information Systems,https://research.monash.edu/en/publications/information-technology-governance-reflections-on-the-past-and-fut,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Sustainability of the accounting and finance academic profession: students' and supervisors' views about the PhD supervision process,2020,Contribution to journal,Accounting & Finance,https://research.monash.edu/en/publications/sustainability-of-the-accounting-and-finance-academic-profession-,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Educational implications and the changing role of accountants: a conceptual approach to accounting education,2019,Contribution to journal,Journal of Vocational Education and Training,https://research.monash.edu/en/publications/educational-implications-and-the-changing-role-of-accountants-a-c,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
The impact of self-efficacy on accountants’ behavioral intention to adopt and use accounting information systems,2019,Contribution to journal,The Journal of Information Systems,https://research.monash.edu/en/publications/the-impact-of-self-efficacy-on-accountants-behavioral-intention-t,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Creating value in online communities through governance and stakeholder engagement,2018,Contribution to journal,International Journal of Accounting Information Systems,https://research.monash.edu/en/publications/creating-value-in-online-communities-through-governance-and-stake,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Factors that influence adoption of cloud computing: an empirical study of Australian SMEs,2018,Contribution to journal,Australasian Journal of Information Systems,https://research.monash.edu/en/publications/factors-that-influence-adoption-of-cloud-computing-an-empirical-s,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Enhancing critical thinking: accounting students’ perceptions,2017,Contribution to journal,Education and Training,https://research.monash.edu/en/publications/enhancing-critical-thinking-accounting-students-perceptions,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Exploring differences between smaller and large organizations' corporate governance of information technology,2016,Contribution to journal,International Journal of Accounting Information Systems,https://research.monash.edu/en/publications/exploring-differences-between-smaller-and-large-organizations-cor,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Measuring mobile portal user satisfaction,2016,Chapter in Book/Report/Conference proceeding,N/A,https://research.monash.edu/en/publications/measuring-mobile-portal-user-satisfaction,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Towards an understanding of valence in E-Government services,2015,Chapter in Book/Report/Conference proceeding,N/A,https://research.monash.edu/en/publications/towards-an-understanding-of-valence-in-e-government-services,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Analysis of SCOR's approach to supply chain risk management,2014,Contribution to journal,International Journal of Operations and Production Management,https://research.monash.edu/en/publications/analysis-of-scors-approach-to-supply-chain-risk-management,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
"Enhancing the AIS curriculum: Integration of a research-led, problem-based learning task",2014,Contribution to journal,Journal of Accounting Education,https://research.monash.edu/en/publications/enhancing-the-ais-curriculum-integration-of-a-research-led-proble,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Proactive risk identification in cross-organizational business processes,2014,Contribution to conference,N/A,https://research.monash.edu/en/publications/proactive-risk-identification-in-cross-organizational-business-pr,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
A framework for an intelligent decision support system: A case in pathology test ordering,2013,Contribution to journal,Decision Support Systems,https://research.monash.edu/en/publications/a-framework-for-an-intelligent-decision-support-system-a-case-in-,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Co-creating value from IT in a contracted public sector service environment: Perspectives on COBIT and Val IT,2013,Contribution to journal,The Journal of Information Systems,https://research.monash.edu/en/publications/co-creating-value-from-it-in-a-contracted-public-sector-service-e,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Creating value through governing IT deployment in a public/private-sector inter-organisational context: A human agency perspective,2013,Contribution to journal,European Journal of Information Systems,https://research.monash.edu/en/publications/creating-value-through-governing-it-deployment-in-a-publicprivate,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Investigation of the relationship between IT governance and corporate governance,2013,Contribution to conference,N/A,https://research.monash.edu/en/publications/investigation-of-the-relationship-between-it-governance-and-corpo,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Towards development of an instrument to measure mobile portal user satisfaction,2013,Contribution to conference,N/A,https://research.monash.edu/en/publications/towards-development-of-an-instrument-to-measure-mobile-portal-use,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Acceptance of post-adoption unanticipated is usage: Towards a taxonomy,2012,Contribution to journal,Data Base for Advances in Information Systems,https://research.monash.edu/en/publications/acceptance-of-post-adoption-unanticipated-is-usage-towards-a-taxo,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Strategic information systems planning: An empirical evaluation of its dimensions,2012,Contribution to journal,Journal of Technology Management and Innovation,https://research.monash.edu/en/publications/strategic-information-systems-planning-an-empirical-evaluation-of,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
The role of IT governance practices in creating business value in SMEs,2012,Contribution to journal,Journal of Organizational and End User Computing,https://research.monash.edu/en/publications/the-role-of-it-governance-practices-in-creating-business-value-in,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Exploring IT governance arrangements in practice: The case of a utility organisation in Thailand,2011,Chapter in Book/Report/Conference proceeding,N/A,https://research.monash.edu/en/publications/exploring-it-governance-arrangements-in-practice-the-case-of-a-ut,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Factors influencing satisfaction with mobile portals,2011,Chapter in Book/Report/Conference proceeding,N/A,https://research.monash.edu/en/publications/factors-influencing-satisfaction-with-mobile-portals,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Formalizing process-based risk with value-focused process engineering,2011,Contribution to journal,Information Systems and e-Business Management,https://research.monash.edu/en/publications/formalizing-process-based-risk-with-value-focused-process-enginee,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Pervasive applications in the aged care service,2011,Chapter in Book/Report/Conference proceeding,N/A,https://research.monash.edu/en/publications/pervasive-applications-in-the-aged-care-service,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
A review of IT governance: A taxonomy to inform accounting information systems,2010,Contribution to journal,The Journal of Information Systems,https://research.monash.edu/en/publications/a-review-of-it-governance-a-taxonomy-to-inform-accounting-informa,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Motivators and inhibitors to IT infusion in tourism SMEs,2010,Chapter in Book/Report/Conference proceeding,N/A,https://research.monash.edu/en/publications/motivators-and-inhibitors-to-it-infusion-in-tourism-smes,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Towards an integrated view of IT value measurement,2010,Contribution to journal,International Journal of Accounting Information Systems,https://research.monash.edu/en/publications/towards-an-integrated-view-of-it-value-measurement,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
IT governance challenges in a large not-for-profit healthcare organization: The role of intranets,2009,Contribution to journal,Electronic Commerce Research,https://research.monash.edu/en/publications/it-governance-challenges-in-a-large-not-for-profit-healthcare-org,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Problem-based approach to accounting education: Pragmatic appraisal of a technologically enabled solution,2009,Contribution to journal,International Journal of Education and Development Using Information and Communication Technology,https://research.monash.edu/en/publications/problem-based-approach-to-accounting-education-pragmatic-appraisa,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
"The influence of net benefits on collective, innovative, configural system use: A case study of small-to-medium enterprises",2009,Contribution to journal,Electronic Journal of Information Systems Evaluation,https://research.monash.edu/en/publications/the-influence-of-net-benefits-on-collective-innovative-configural,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Towards operational risk-aware information systems: a critical realist perspective,2009,Chapter in Book/Report/Conference proceeding,N/A,https://research.monash.edu/en/publications/towards-operational-risk-aware-information-systems-a-critical-rea,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Why did they do that? Variability in routine transactions,2009,Contribution to journal,Information Technology & People,https://research.monash.edu/en/publications/why-did-they-do-that-variability-in-routine-transactions,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Evolving innovations through design and use,2008,Contribution to journal,Communications of the ACM,https://research.monash.edu/en/publications/evolving-innovations-through-design-and-use,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Formalising risk with value-focused process engineering,2008,Contribution to conference,N/A,https://research.monash.edu/en/publications/formalising-risk-with-value-focused-process-engineering,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Evaluating the quality of delivered systems: A framework and instrument,2007,Contribution to journal,International Journal of Business Information Systems,https://research.monash.edu/en/publications/evaluating-the-quality-of-delivered-systems-a-framework-and-instr,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
A possible journey to an Australian knowledge management framework,2006,Contribution to journal,"The International Journal of Knowledge, Culture, and Change Management",https://research.monash.edu/en/publications/a-possible-journey-to-an-australian-knowledge-management-framewor,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Evaluationg IS quality as a measure of IS effectiveness,2006,Contribution to journal,Encyclopedia of Information Science and Technology,https://research.monash.edu/en/publications/evaluationg-is-quality-as-a-measure-of-is-effectiveness,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Evaluating stakeholders' views of delivered IS effectiveness: perceptions versus perceptions and expectations,2003,Chapter in Book/Report/Conference proceeding,N/A,https://research.monash.edu/en/publications/evaluating-stakeholders-views-of-delivered-is-effectiveness-perce,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
Exploring the role of expectations in defining stakeholders' evaluation of IS quality,2002,Chapter in Book/Report/Conference proceeding,N/A,https://research.monash.edu/en/publications/exploring-the-role-of-expectations-in-defining-stakeholders-evalu,Carla Wilkin,https://research.monash.edu/en/persons/carla-wilkin
