Title,Year,Type,Journal Name,Article URL,Researcher Name,Profile URL,Job Title,Field
Risk-Relevant Early Life Experiences and Individual Trading Activity,2021,Journals,Finance Research Letters,http://dx.doi.org/10.1016/j.frl.2020.101569,Dr Gary Tan,https://researchers.adelaide.edu.au/profile/gary.tan,Lecturer,Finance
National culture and individual trading behavior,2019,Journals,Journal of Banking and Finance,http://dx.doi.org/10.1016/j.jbankfin.2019.07.007,Dr Gary Tan,https://researchers.adelaide.edu.au/profile/gary.tan,Lecturer,Finance
Key to trading profits - matching the probability distribution of a contact with an appropriate mechanical trading strategy,2010,Journals,International Journal of Economics and Finance,http://hdl.handle.net/2440/61306,Dr Gary Tan,https://researchers.adelaide.edu.au/profile/gary.tan,Lecturer,Finance
Equity offering following cyberattacks,2025,Journals,Journal of Corporate Finance,http://dx.doi.org/10.1016/j.jcorpfin.2024.102710,Professor Alfred Yawson,https://researchers.adelaide.edu.au/profile/alfred.yawson,"Professor, Corporate Finance",Finance
The impact of CEO attributes on corporate decision-making and outcomes: a review and an agenda for future research,2024,Journals,International Journal of Managerial Finance,http://dx.doi.org/10.1108/IJMF-02-2023-0092,Professor Alfred Yawson,https://researchers.adelaide.edu.au/profile/alfred.yawson,"Professor, Corporate Finance",Finance
Managerial ability and supply chain power,2024,Journals,Journal of Contemporary Accounting &amp; Economics,http://dx.doi.org/10.1016/j.jcae.2024.100414,Professor Alfred Yawson,https://researchers.adelaide.edu.au/profile/alfred.yawson,"Professor, Corporate Finance",Finance
"IPO conditional conservatism, underpricing and post-issue stock market survival",2024,Journals,Journal of Accounting Literature,http://dx.doi.org/10.1108/jal-01-2024-0012,Professor Alfred Yawson,https://researchers.adelaide.edu.au/profile/alfred.yawson,"Professor, Corporate Finance",Finance
Exploring the acquisition behavior of penny stock firms,2023,Journals,British Accounting Review,http://dx.doi.org/10.1016/j.bar.2023.101276,Professor Alfred Yawson,https://researchers.adelaide.edu.au/profile/alfred.yawson,"Professor, Corporate Finance",Finance
"Economic shocks, M&A advisors, and industry takeover activity",2023,Journals,Pacific-Basin Finance Journal,https://hdl.handle.net/2440/144560,Professor Alfred Yawson,https://researchers.adelaide.edu.au/profile/alfred.yawson,"Professor, Corporate Finance",Finance
Do analysts’' forecast properties deter suboptimal labor investment decisions? Evidence from Regulation Fair Disclosure,2021,Journals,Journal of Corporate Finance,http://dx.doi.org/10.1016/j.jcorpfin.2021.101995,Professor Alfred Yawson,https://researchers.adelaide.edu.au/profile/alfred.yawson,"Professor, Corporate Finance",Finance
