Title,Year,Type,Journal Name,Article URL,Researcher Name,Profile URL,Job Title,Field
Does Self-certification Encourage or Reduce Escalation of Commitment?,2016,Journal articles,Behavioral Research in Accounting,http://dx.doi.org/10.2308/bria-51468,Dr Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,Senior Lecturer,Accounting
The Utilization of Quantitative and Qualitative Information in Groups' Capital Investment Decisions,2015,Journal articles,Behavioral Research in Accounting,http://dx.doi.org/10.2308/bria-50917,Dr Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,Senior Lecturer,Accounting
Fifty-year Overview of Judgment and Decision-making Research in Accounting.,2011,Journal articles,Accounting and Finance,http://dx.doi.org/10.1111/j.1467-629X.2010.00398.x,Dr Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,Senior Lecturer,Accounting
The incentives of Australian public companies lobbying against proposed superannuation accounting standards,2000,Journal articles,ABACUS,http://dx.doi.org/10.1111/1467-6281.00053,Dr Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,Senior Lecturer,Accounting
The value relevance of superannuation disclosures by Australian-listed firms sponsoring defined benefit plans,1999,Journal articles,Accounting and Finance,http://dx.doi.org/10.1111/1467-629X.00024,Dr Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,Senior Lecturer,Accounting
Honesty in Managerial Reporting: The Impact of An Enabling Management Control System and Informal Cost Targets,2015,Conference Papers,,,Dr Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,Senior Lecturer,Accounting
Do Informal Controls Encourage or Reduce Escalation of Commitment? The Effect of Self-certification on Capital Investment Decisions,2011,Conference Papers,,,Dr Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,Senior Lecturer,Accounting
The Utilisation of Quantitative Information in Groups' Capital Investment Decisions,2009,Conference Papers,,,Dr Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,Senior Lecturer,Accounting
The utilisation of Quantitative Information in Groups' capital investment decisions,2009,Theses / Dissertations,,,Dr Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,Senior Lecturer,Accounting
An alternative valuation of energy options for atypical markets,2020,Book Chapters,,http://dx.doi.org/10.1142/9789813278387_0024,Dr Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,Senior Lecturer,Accounting
An Alternative Valuation of Energy Options for Atypical Markets,2019,Book Chapters,,http://dx.doi.org/10.1142/11213,Dr Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,Senior Lecturer,Accounting
Management efficiency performance of construction businesses: Australian data,2015,Book Chapters,,http://dx.doi.org/10.1108/09699981111111120,Dr Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,Senior Lecturer,Accounting
The financial additionality and viability of CDM projects allowing for uncertainty,2016,Journal articles,"Environment, Development and Sustainability",http://dx.doi.org/10.1007/s10668-015-9630-5,Dr Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,Senior Lecturer,Accounting
A proposed framework for assessing the sustainability of infrastructure,2016,Journal articles,International Journal of Construction Management,http://dx.doi.org/10.1080/15623599.2016.1146115,Dr Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,Senior Lecturer,Accounting
Measuring project sustainability maturity level - A fuzzy-based approach,2016,Journal articles,International Journal of Sustainable Development,http://dx.doi.org/10.1504/IJSD.2016.073680,Dr Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,Senior Lecturer,Accounting
The impact of ESG disclosures and institutional ownership on market information asymmetry,2016,Journal articles,Asia-Pacific Journal of Accounting and Economics,http://dx.doi.org/10.1080/16081625.2016.1170100,Dr Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,Senior Lecturer,Accounting
Improving the attractiveness of CDM projects through allowing and incorporating options,2015,Journal articles,Energy Policy,http://dx.doi.org/10.1016/j.enpol.2015.08.024,Dr Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,Senior Lecturer,Accounting
The impact of litigation risk on the strategic timing of management earnings forecasts,2015,Journal articles,Accounting and Finance,http://dx.doi.org/10.1111/acfi.12065,Dr Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,Senior Lecturer,Accounting
A Review of Building/Infrastructure Sustainability Reporting Tools (SRTs),2013,Journal articles,Smart and Sustainable Built Environment,http://dx.doi.org/10.1108/SASBE-03-2013-0010,Dr Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,Senior Lecturer,Accounting
The Relationship between Sustainability Practices and Financial Performance of Construction Companies,2013,Journal articles,Smart and Sustainable Built Environment,http://dx.doi.org/10.1108/20466091311325827,Dr Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,Senior Lecturer,Accounting
Does consideration matter to China’s split share structure reform?,2012,Journal articles,Accounting and Finance,http://dx.doi.org/10.1111/j.1467-629X.2011.00400.x,Dr Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,Senior Lecturer,Accounting
Performance Risk Associated with Renewable Energy CDM Projects,2012,Journal articles,Journal of Management in Engineering,http://dx.doi.org/10.1061/(ASCE)ME.1943-5479.0000090,Dr Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,Senior Lecturer,Accounting
