Title,Year,Type,Journal Name,Article URL,Researcher Name,Profile URL
The Value of Interactivity: Connections within a Community. In G. Fosbraey (Eds.),2024,Book Chapters,,http://dx.doi.org/10.5040/9781350331525.ch-4,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
Using social connection to drive engagement in emergency remote teaching and learning,2023,Journals,Higher Education Research and Development,http://dx.doi.org/10.1080/07294360.2023.2203471,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
From frustration to fulfilment: Meeting early challenges analysing business transactions,2024,Conferences,,http://dx.doi.org/10.14742/apubs.2024.1045,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
Mastering Business Transaction Analysis: Utilizing an Excel Learning Aid to Reduce Cognitive Load Through Scaffolded Support and Immediate Feedback,2024,Conferences,,,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
Accounting Education for Gen-Z: Lessons from a student co-creation perspective,2023,Conferences,,,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
Excel - a new way to join the dots,2023,Conferences,,http://dx.doi.org/10.14742/apubs.2023.611,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
The Practical Connection,2022,Conferences,,http://dx.doi.org/10.14742/apubs.2022.89,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
Unpacking Emergency Remote Teaching and Learning Experiences,2021,Conferences,,,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
Collaboration and co-creation: Lessons from working in a multi-disciplinary team on the Industry Placement Program,2018,Conferences,,,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
Excel - a new way to join the dots,2024,Report,,https://diberg.blog/2024/03/11/excel-a-new-way-to-join-the-dots/,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
Reimagining First Year Accounting with a Practical Connection,2023,Report,,https://cdrg.blog/2023/01/30/reimagining-first-year-accounting/,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
Connecting with students through humour,2022,Report,,https://cdrg.blog/2022/10/28/connecting-with-students-through-humour/,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
Re-energised Teaching,2021,Report,,https://cdrg.blog/2021/07/26/re-energised-teaching/,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
Everyday innovation with tech tools,2024,Other,,,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
In Government We Trust: Market Failure and the Delusions of Privatisation,2009,Books,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"Privatising Corrections: Rethinking the issue. In P. Birch, L. Sicard (Eds.)",2021,Book Chapters,Prisons and Community Corrections: Critical Issues and Emerging Controversies,http://dx.doi.org/10.4324/9781003010562-6,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"The Real Cost of Prison Reform: The Case of Privatisation in Victoria. In D. Cahill, P. Toner (Eds.)",2018,Book Chapters,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"Incorporating Human Rights into the Sustainability Agenda. In Maria Cadiz Dyball, Ian Thomson, Richard M.S. Wilson (Eds.)",2014,Book Chapters,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
The Shifting Meaning of Sustainability. In Guler Aras & David Crowther (Eds.),2010,Book Chapters,,http://dx.doi.org/10.4324/9781315564791,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"The Convergence of International Financial Reporting Standards in China: A View on the Influence of Political Ideology on Chinese Accounting Profession. In Parikshit K Basu, Yapa M W Y Bandara (Eds.)",2009,Book Chapters,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"The Ideal Accounting Report: A PhD or a McJob. In S. Evans, L. Parker (Eds.)",2007,Book Chapters,"Balancing Act: the Creative Writing Pathway to Understanding Accounting. Special Issue of the Accounting, Auditing & Accountability Journal",,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
The accounting craft and the environmental crisis: reconsidering environmental ethics. In Warwick Funnell and Robert Williams (Eds.),2005,Book Chapters,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Financial gaslighting: The financialisation of care in later life,2025,Journals,Critical Perspectives on Accounting,http://dx.doi.org/10.1016/j.cpa.2025.102788,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"Hegemony, global capitalism and the role of diplomacy in extractive industries",2025,Journals,"Accounting, Auditing and Accountability Journal",http://dx.doi.org/10.1108/aaaj-03-2023-6353,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Artificial intelligence and qualitative research: The promise and perils of large language model (LLM) 'assistance',2024,Journals,Critical Perspectives on Accounting,http://dx.doi.org/10.1016/j.cpa.2024.102722,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Knowledge equity as social justice in academic publishing and why it matters for accounting research,2024,Journals,Meditari Accountancy Research,http://dx.doi.org/10.1108/MEDAR-06-2024-2522,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Wealth taxes and the post-COVID future of the state,2024,Journals,Critical Perspectives on Accounting,http://dx.doi.org/10.1016/j.cpa.2022.102431,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Algorithmic accountability: robodebt and the making of welfare cheats,2023,Journals,"Accounting, Auditing and Accountability Journal",http://dx.doi.org/10.1108/AAAJ-02-2022-5666,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Data breaches in the age of surveillance capitalism: Do disclosures have a new role to play?,2023,Journals,Critical Perspectives on Accounting,http://dx.doi.org/10.1016/j.cpa.2021.102396,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"The new ""corporate state"": The meshing of corporate and political power and the erosion of democratic accountability in the UK",2023,Journals,Financial Accountability and Management,http://dx.doi.org/10.1111/faam.12356,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
A Tribute to the Life and Scholarship of Conny Beck,2022,Journals,Social and Environmental Accountability Journal,http://dx.doi.org/10.1080/0969160X.2022.2085130,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Big data and accounting,2022,Journals,Critical Perspectives on Accounting,http://dx.doi.org/10.1016/j.cpa.2022.102478,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Financialisation and the Conceptual Framework: An Update,2022,Journals,Critical Perspectives on Accounting,http://dx.doi.org/10.1016/j.cpa.2021.102322,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"From ""business-like"" to businesses: Agencification, corporatization, and civil service reform under the Thatcher administration",2022,Journals,Public Administration,http://dx.doi.org/10.1111/padm.12732,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Methodological Insights Accounting talk: developing conversation analysis in accounting research,2022,Journals,"Accounting, Auditing and Accountability Journal",http://dx.doi.org/10.1108/AAAJ-09-2020-4943,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Special Issue Editorial: Covid and the environment in crisis,2022,Journals,Critical Perspectives on Accounting,http://dx.doi.org/10.1016/j.cpa.2021.102413,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
The perils of artificial intelligence in academic publishing,2022,Journals,Critical Perspectives on Accounting,http://dx.doi.org/10.1016/j.cpa.2021.102411,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"Accounting, inequality and COVID-19 in Australia",2021,Journals,"Accounting, Auditing and Accountability Journal",http://dx.doi.org/10.1108/AAAJ-07-2020-4688,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Editorial for special issue on boundaries,2021,Journals,Critical Perspectives on Accounting,http://dx.doi.org/10.1016/j.cpa.2021.102295,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
The General Data Protection Regulation in the Age of Surveillance Capitalism,2021,Journals,Journal of Business Ethics,http://dx.doi.org/10.1007/s10551-019-04239-z,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Addressing the English language hegemony problem in academia: An ongoing experiment and preliminary policy,2020,Journals,Critical Perspectives on Accounting,http://dx.doi.org/10.1016/j.cpa.2019.102127,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
