Name,Field
Alex Yang,Accounting
Alex Zhang,Accounting
Antony Gray,None
Chloe Ho,Finance
Collette Chesters,Accounting
Daniel Cahill,Finance
David Gilchrist,Accounting
Dirk Baur,Finance
Duc Vo,Finance
Elizabeth Ooi,Finance
Farhan Shazia,Finance
Fe'ama Brass,Accounting
Frank Liu,Finance
Gary Smith,Finance
George Shan,Accounting
Glen Hutchings,Accounting
Joey Yang,Finance
Kam Chan,Finance
Lai Hoang,Finance
Lee Smales,Finance
Leo Langa,Accounting
Lyndie Bayne,Accounting
Mark Holub,Accounting
Mosharraf Hossain,Finance
Nikki Schonfeldt,Accounting
Nishant Agarwal,He is gone; at Curtin now; REMOVE
Paul Gerrans,Finance
Phil Hancock,Accounting
Prerana Agrawal,Accounting
Raymond Da Silva Rosa,Finance
Ricky Chung ,Accounting
Rui Zhong,Finance
Russell Poskitt,Finance
Stijn Masschelein,Accounting
Thanesvary Subraamanniam,Accounting
Thao Hoang,Finance
Vincent Chong,Accounting
Warrick Van Zyl,Accounting
Yeok-Fun Mah,Finance
Yihui Lan,Finance
Yuanji Wen,Finance
