Title,Year,Type,Journal Name,Article URL,Researcher Name,Profile URL,Job Title,Field
Do Client Protection Principles Matter for the Economic and Social Performance of Microfinance Institutions?,2025,Contribution to journal,The British Accounting Review,https://research-repository.uwa.edu.au/en/publications/do-client-protection-principles-matter-for-the-economic-and-socia,Mosharraf Hossain,https://research-repository.uwa.edu.au/en/persons/mosharraf-hossain,Lecturer,Finance
Green finance when stakeholders’ interests collide with each other: The case of Bangladesh,2024,Contribution to journal,International Journal of Managerial Finance,https://research-repository.uwa.edu.au/en/publications/green-finance-when-stakeholders-interests-collide-with-each-other,Mosharraf Hossain,https://research-repository.uwa.edu.au/en/persons/mosharraf-hossain,Lecturer,Finance
The reputational costs of corporate environmental underperformance: evidence from China,2024,Contribution to journal,Business Strategy and the Environment,https://research-repository.uwa.edu.au/en/publications/the-reputational-costs-of-corporate-environmental-underperformanc,Mosharraf Hossain,https://research-repository.uwa.edu.au/en/persons/mosharraf-hossain,Lecturer,Finance
Are board monitoring and CEO incentives substitutes for each other? Evidence from Australian market reaction to acquisition announcements,2022,Contribution to journal,International Review of Financial Analysis,https://research-repository.uwa.edu.au/en/publications/are-board-monitoring-and-ceo-incentives-substitutes-for-each-othe,Mosharraf Hossain,https://research-repository.uwa.edu.au/en/persons/mosharraf-hossain,Lecturer,Finance
The performance and motivation of serial acquisitions: Evidence from Australia,2021,Contribution to journal,International Review of Financial Analysis,https://research-repository.uwa.edu.au/en/publications/the-performance-and-motivation-of-serial-acquisitions-evidence-fr,Mosharraf Hossain,https://research-repository.uwa.edu.au/en/persons/mosharraf-hossain,Lecturer,Finance
The information content of director trading: evidence from acquisition announcements in Australia,2020,Contribution to journal,Global Finance Journal,https://research-repository.uwa.edu.au/en/publications/the-information-content-of-director-trading-evidence-from-acquisi,Mosharraf Hossain,https://research-repository.uwa.edu.au/en/persons/mosharraf-hossain,Lecturer,Finance
Components of CEO remuneration and non-GAAP disclosure decision,2019,Contribution to journal,Australian Accounting Review,https://research-repository.uwa.edu.au/en/publications/components-of-ceo-remuneration-and-non-gaap-disclosure-decision,Mosharraf Hossain,https://research-repository.uwa.edu.au/en/persons/mosharraf-hossain,Lecturer,Finance
A study of acquiring firm returns around merger and acquisition (M&A)announcements with a focus on multiple acquisitions and director trading,2016,Thesis,,https://research-repository.uwa.edu.au/en/publications/a-study-of-acquiring-firm-returns-around-merger-and-acquisition-m,Mosharraf Hossain,https://research-repository.uwa.edu.au/en/persons/mosharraf-hossain,Lecturer,Finance
"Director trading, or lack thereof, and acquiring firm performance Evidence from Australian mergers and acquisitions",2016,Contribution to journal,Accounting Research Journal,https://research-repository.uwa.edu.au/en/publications/director-trading-or-lack-thereof-and-acquiring-firm-performance-e,Mosharraf Hossain,https://research-repository.uwa.edu.au/en/persons/mosharraf-hossain,Lecturer,Finance
AASB Research Report: Connectivity of Non-Financial Information and Financial Information - A NFP Private Sector Study,2025,Working paper,,https://research-repository.uwa.edu.au/en/publications/aasb-research-report-connectivity-of-non-financial-information-an,Nikki Schonfeldt,https://research-repository.uwa.edu.au/en/persons/nikki-schonfeldt,Senior Lecturer,Accounting
Improving retention while enhancing student engagement and learning outcomes using gamified mobile technology,2025,Contribution to journal,Accounting Education,https://research-repository.uwa.edu.au/en/publications/improving-retention-while-enhancing-student-engagement-and-learni,Nikki Schonfeldt,https://research-repository.uwa.edu.au/en/persons/nikki-schonfeldt,Senior Lecturer,Accounting
Best practices for group assessment tasks,2022,Contribution to journal,Journal of Accounting Education,https://research-repository.uwa.edu.au/en/publications/best-practices-for-group-assessment-tasks,Nikki Schonfeldt,https://research-repository.uwa.edu.au/en/persons/nikki-schonfeldt,Senior Lecturer,Accounting
Demystifying Consolidated Financial Statements: Mastering Threshold Concepts utilising Adaptive Learning,2022,Thesis,,https://research-repository.uwa.edu.au/en/publications/demystifying-consolidated-financial-statements-mastering-threshol,Nikki Schonfeldt,https://research-repository.uwa.edu.au/en/persons/nikki-schonfeldt,Senior Lecturer,Accounting
The use of case studies in developing students' understanding of the concept ‘material misstatement',2022,Contribution to journal,Accounting & Finance,https://research-repository.uwa.edu.au/en/publications/the-use-of-case-studies-in-developing-students-understanding-of-t,Nikki Schonfeldt,https://research-repository.uwa.edu.au/en/persons/nikki-schonfeldt,Senior Lecturer,Accounting
Consolidating the student voice using think aloud protocols,2020,Contribution to journal,Journal of Accounting Education,https://research-repository.uwa.edu.au/en/publications/consolidating-the-student-voice-using-think-aloud-protocols,Nikki Schonfeldt,https://research-repository.uwa.edu.au/en/persons/nikki-schonfeldt,Senior Lecturer,Accounting
"ICT Skill Development Using Excel, Xero, and Tableau",2020,Contribution to journal,Journal of Emerging Technologies in Accounting,https://research-repository.uwa.edu.au/en/publications/ict-skill-development-using-excel-xero-and-tableau,Nikki Schonfeldt,https://research-repository.uwa.edu.au/en/persons/nikki-schonfeldt,Senior Lecturer,Accounting
The effects of performance-based profit-sharing schemes and client pressure on auditors' pre-negotiation judgments,2025,Contribution to journal,Advances in Accounting,https://research-repository.uwa.edu.au/en/publications/the-effects-of-performance-based-profit-sharing-schemes-and-clien,Stijn Masschelein,https://research-repository.uwa.edu.au/en/persons/stijn-masschelein,Senior Lecturer,Accounting
An empirical evaluation of The Resilience Shield model,2022,Contribution to journal,BMC Psychology,https://research-repository.uwa.edu.au/en/publications/an-empirical-evaluation-of-the-resilience-shield-model,Stijn Masschelein,https://research-repository.uwa.edu.au/en/persons/stijn-masschelein,Senior Lecturer,Accounting
Loss aversion in asymmetric anti-coordination games,2022,Contribution to journal,Southern Economic Journal,https://research-repository.uwa.edu.au/en/publications/loss-aversion-in-asymmetric-anti-coordination-games,Stijn Masschelein,https://research-repository.uwa.edu.au/en/persons/stijn-masschelein,Senior Lecturer,Accounting
