Title,Year,Type,Journal Name,Article URL,Researcher Name,Profile URL,Job Title,Field
The Real Effect of Accounting for Software Development Costs on Corporate Innovation,2025,Contribution to journal,European Accounting Review,https://researchportalplus.anu.edu.au/en/publications/the-real-effect-of-accounting-for-software-development-costs-on-c,AsPr Steven Wu,https://researchportalplus.anu.edu.au/en/persons/steven-wu,,Accounting
The effectiveness of sanctions on disclosure regulation: Australian evidence,2023,Contribution to journal,Accounting and Finance,https://researchportalplus.anu.edu.au/en/publications/the-effectiveness-of-sanctions-on-disclosure-regulation-australia,AsPr Steven Wu,https://researchportalplus.anu.edu.au/en/persons/steven-wu,,Accounting
The geography of corporate tax avoidance,2023,Contribution to journal,eJournal of Tax Research,https://researchportalplus.anu.edu.au/en/publications/the-geography-of-corporate-tax-avoidance,AsPr Steven Wu,https://researchportalplus.anu.edu.au/en/persons/steven-wu,,Accounting
Cross-Border Mergers and Acquisitions and CSR Performance: Evidence from China,2022,Contribution to journal,Journal of Business Ethics,https://researchportalplus.anu.edu.au/en/publications/cross-border-mergers-and-acquisitions-and-csr-performance-evidenc,AsPr Steven Wu,https://researchportalplus.anu.edu.au/en/persons/steven-wu,,Accounting
Workforce education and corporate innovation,2022,Contribution to journal,Australian Journal of Management,https://researchportalplus.anu.edu.au/en/publications/workforce-education-and-corporate-innovation,AsPr Steven Wu,https://researchportalplus.anu.edu.au/en/persons/steven-wu,,Accounting
Distracted institutional investors and audit risk,2021,Contribution to journal,Accounting and Finance,https://researchportalplus.anu.edu.au/en/publications/distracted-institutional-investors-and-audit-risk,AsPr Steven Wu,https://researchportalplus.anu.edu.au/en/persons/steven-wu,,Accounting
Economic policy uncertainty and cost stickiness,2021,Contribution to journal,Management Accounting Research,https://researchportalplus.anu.edu.au/en/publications/economic-policy-uncertainty-and-cost-stickiness,AsPr Steven Wu,https://researchportalplus.anu.edu.au/en/persons/steven-wu,,Accounting
In name only: Information spillovers among Chinese firms with similar stock names during earnings announcements,2021,Contribution to journal,Journal of Corporate Finance,https://researchportalplus.anu.edu.au/en/publications/in-name-only-information-spillovers-among-chinese-firms-with-simi,AsPr Steven Wu,https://researchportalplus.anu.edu.au/en/persons/steven-wu,,Accounting
The Impact of the Leahy-Smith America Invents Act on Firms’ R&D Disclosure,2021,Contribution to journal,European Accounting Review,https://researchportalplus.anu.edu.au/en/publications/the-impact-of-the-leahy-smith-america-invents-act-on-firms-rampd-,AsPr Steven Wu,https://researchportalplus.anu.edu.au/en/persons/steven-wu,,Accounting
Using the R&D capitalisation choice to explain the scale benefits of R&D investment,2020,Contribution to journal,Australian Journal of Management,https://researchportalplus.anu.edu.au/en/publications/using-the-rampd-capitalisation-choice-to-explain-the-scale-benefi,AsPr Steven Wu,https://researchportalplus.anu.edu.au/en/persons/steven-wu,,Accounting
Does Exploration Intensity Affect Analyst Forecast Bias?,2018,Contribution to conference,,https://researchportalplus.anu.edu.au/en/publications/does-exploration-intensity-affect-analyst-forecast-bias,AsPr Steven Wu,https://researchportalplus.anu.edu.au/en/persons/steven-wu,,Accounting
"Exploration intensity, analysts’ private information development and their forecast performance",2018,Contribution to journal,Accounting and Business Research,https://researchportalplus.anu.edu.au/en/publications/exploration-intensity-analysts-private-information-development-an,AsPr Steven Wu,https://researchportalplus.anu.edu.au/en/persons/steven-wu,,Accounting
Investment-related pressure and audit risk,2017,Contribution to journal,Auditing,https://researchportalplus.anu.edu.au/en/publications/investment-related-pressure-and-audit-risk,AsPr Steven Wu,https://researchportalplus.anu.edu.au/en/persons/steven-wu,,Accounting
Probability of loss reversal in Australia,2017,Contribution to journal,Australian Journal of Management,https://researchportalplus.anu.edu.au/en/publications/probability-of-loss-reversal-in-australia,AsPr Steven Wu,https://researchportalplus.anu.edu.au/en/persons/steven-wu,,Accounting
The impact of Leahy-Smith America Invents Act on Financial Analysts' Information Environment of Innovative Firms,2016,Contribution to conference,,https://researchportalplus.anu.edu.au/en/publications/the-impact-of-leahy-smith-america-invents-act-on-financial-analys,AsPr Steven Wu,https://researchportalplus.anu.edu.au/en/persons/steven-wu,,Accounting
