Title,Year,Type,Journal Name,Article URL,Researcher Name,Profile URL,Job Title,Field
Nonstandard errors,2024,Contribution to journal,Journal of Finance,https://research.monash.edu/en/publications/nonstandard-errors,Arseny Gorbenko,https://research.monash.edu/en/persons/arseny-gorbenko,Lecturer,Finance
Short interest and aggregate stock returns: international evidence,2023,Contribution to journal,Review of Asset Pricing Studies,https://research.monash.edu/en/publications/short-interest-and-aggregate-stock-returns-international-evidence,Arseny Gorbenko,https://research.monash.edu/en/persons/arseny-gorbenko,Lecturer,Finance
Asset pricing implications of firms’ government sales dependency,2023,Contribution to journal,Review of Asset Pricing Studies,https://research.monash.edu/en/publications/asset-pricing-implications-of-firms-government-sales-dependency,Bharat Parajuli,https://research.monash.edu/en/persons/bharat-parajuli,Lecturer,Finance
An examination of the characteristics versus covariance debate for contemporary asset-pricing models: Australian evidence,2024,Contribution to journal,Accounting & Finance,https://research.monash.edu/en/publications/an-examination-of-the-characteristics-versus-covariance-debate-fo,Manapon Limkriangkrai,https://research.monash.edu/en/persons/manapon-limkriangkrai,Lecturer,Finance
Do behavioral biases influence the length of sell-side analysts’ observable careers?,2024,Contribution to journal,Journal of Behavioral Finance,https://research.monash.edu/en/publications/do-behavioral-biases-influence-the-length-of-sell-side-analysts-o,Manapon Limkriangkrai,https://research.monash.edu/en/persons/manapon-limkriangkrai,Lecturer,Finance
Market intraday momentum: APAC evidence,2023,Contribution to journal,Pacific Basin Finance Journal,https://research.monash.edu/en/publications/market-intraday-momentum-apac-evidence,Manapon Limkriangkrai,https://research.monash.edu/en/persons/manapon-limkriangkrai,Lecturer,Finance
Exogenous and endogenous attention and the convergence of analysts’ forecasts,2019,Contribution to journal,Journal of Behavioral Finance,https://research.monash.edu/en/publications/exogenous-and-endogenous-attention-and-the-convergence-of-analyst,Manapon Limkriangkrai,https://research.monash.edu/en/persons/manapon-limkriangkrai,Lecturer,Finance
"Myopic loss aversion, personality, and gender",2019,Contribution to journal,Journal of Behavioral Finance,https://research.monash.edu/en/publications/myopic-loss-aversion-personality-and-gender,Manapon Limkriangkrai,https://research.monash.edu/en/persons/manapon-limkriangkrai,Lecturer,Finance
"Environmental, social, and governance (ESG) profiles, stock returns, and financial policy: Australian evidence",2017,Contribution to journal,International Review of Finance,https://research.monash.edu/en/publications/environmental-social-and-governance-esg-profiles-stock-returns-an,Manapon Limkriangkrai,https://research.monash.edu/en/persons/manapon-limkriangkrai,Lecturer,Finance
Momentum in weekly returns: the role of intermediate-horizon past performance,2017,Contribution to journal,Accounting & Finance,https://research.monash.edu/en/publications/momentum-in-weekly-returns-the-role-of-intermediate-horizon-past-,Manapon Limkriangkrai,https://research.monash.edu/en/persons/manapon-limkriangkrai,Lecturer,Finance
The Australian asset-pricing debate,2016,Contribution to journal,Accounting & Finance,https://research.monash.edu/en/publications/the-australian-asset-pricing-debate,Manapon Limkriangkrai,https://research.monash.edu/en/persons/manapon-limkriangkrai,Lecturer,Finance
The value of saints and the price of sin,2015,Contribution to journal,Pacific Basin Finance Journal,https://research.monash.edu/en/publications/the-value-of-saints-and-the-price-of-sin,Manapon Limkriangkrai,https://research.monash.edu/en/persons/manapon-limkriangkrai,Lecturer,Finance
"Anomalies, risk adjustment and seasonality: Australian evidence",2014,Contribution to journal,International Review of Financial Analysis,https://research.monash.edu/en/publications/anomalies-risk-adjustment-and-seasonality-australian-evidence,Manapon Limkriangkrai,https://research.monash.edu/en/persons/manapon-limkriangkrai,Lecturer,Finance
Seasonality in momentum profitability,2014,Contribution to journal,JASSA: The Finsia Journal of Applied Finance,https://research.monash.edu/en/publications/seasonality-in-momentum-profitability,Manapon Limkriangkrai,https://research.monash.edu/en/persons/manapon-limkriangkrai,Lecturer,Finance
