Title,Year,Type,Journal Name,Article URL,Researcher Name,Profile URL,Job Title,Field
Interactive spreadsheeting: a learning strategy and exercises for calculative management accounting principles,2022,Journals,Issues in Accounting Education,http://espace.library.uq.edu.au/view/UQ:3a0af8e,Dr Matthew Peters,https://business.uq.edu.au/profile/1040/matthew-peters,Lecturer,Accounting
The solar panels business case: a management accounting instructional resource,2022,Journals,Issues in Accounting Education,http://espace.library.uq.edu.au/view/UQ:cb5327a,Dr Matthew Peters,https://business.uq.edu.au/profile/1040/matthew-peters,Lecturer,Accounting
The frozen supply chain business case: a management accounting instructional resource,2021,Journals,Issues in Accounting Education,http://espace.library.uq.edu.au/view/UQ:abf6d53,Dr Matthew Peters,https://business.uq.edu.au/profile/1040/matthew-peters,Lecturer,Accounting
Interactive proﬁt-planning systems and market turbulence: a dynamic capabilities perspective,2019,Journals,Long Range Planning,http://espace.library.uq.edu.au/view/UQ:729150,Dr Matthew Peters,https://business.uq.edu.au/profile/1040/matthew-peters,Lecturer,Accounting
Organizational improvisation and the reduced usefulness of performance measurement BI functionalities,2018,Journals,International Journal of Accounting Information Systems,http://espace.library.uq.edu.au/view/UQ:729148,Dr Matthew Peters,https://business.uq.edu.au/profile/1040/matthew-peters,Lecturer,Accounting
Business intelligence systems use in performance measurement capabilities: Implications for enhanced competitive advantage.,2016,Journals,International Journal of Accounting Information Systems,http://espace.library.uq.edu.au/view/UQ:729147,Dr Matthew Peters,https://business.uq.edu.au/profile/1040/matthew-peters,Lecturer,Accounting
"Management accounting resources, for profitability measurement reporting, and competitive performance: The moderating roles of market dynamism",2023,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:394c1d0,Dr Matthew Peters,https://business.uq.edu.au/profile/1040/matthew-peters,Lecturer,Accounting
Effective BI-enabled profit planning ‘systems’ and market dynamism,2023,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:0fdbd7d,Dr Matthew Peters,https://business.uq.edu.au/profile/1040/matthew-peters,Lecturer,Accounting
Declarative interactive dynamic tensions in radical innovation project-planning,2020,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:5c5ced4,Dr Matthew Peters,https://business.uq.edu.au/profile/1040/matthew-peters,Lecturer,Accounting
The unspoken pleasures of power?,2020,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:86d5a51,Dr Matthew Peters,https://business.uq.edu.au/profile/1040/matthew-peters,Lecturer,Accounting
