Title,Year,Type,Journal Name,Article URL,Researcher Name,Profile URL,Job Title,Field
The Value of Interactivity: Connections within a Community. In G. Fosbraey (Eds.),2024,Book Chapters,,http://dx.doi.org/10.5040/9781350331525.ch-4,Ms Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html,Senior Lecturer,Accounting
Using social connection to drive engagement in emergency remote teaching and learning,2023,Journals,Higher Education Research and Development,http://dx.doi.org/10.1080/07294360.2023.2203471,Ms Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html,Senior Lecturer,Accounting
From frustration to fulfilment: Meeting early challenges analysing business transactions,2024,Conferences,,http://dx.doi.org/10.14742/apubs.2024.1045,Ms Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html,Senior Lecturer,Accounting
Mastering Business Transaction Analysis: Utilizing an Excel Learning Aid to Reduce Cognitive Load Through Scaffolded Support and Immediate Feedback,2024,Conferences,,,Ms Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html,Senior Lecturer,Accounting
Accounting Education for Gen-Z: Lessons from a student co-creation perspective,2023,Conferences,,,Ms Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html,Senior Lecturer,Accounting
Excel - a new way to join the dots,2023,Conferences,,http://dx.doi.org/10.14742/apubs.2023.611,Ms Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html,Senior Lecturer,Accounting
The Practical Connection,2022,Conferences,,http://dx.doi.org/10.14742/apubs.2022.89,Ms Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html,Senior Lecturer,Accounting
Unpacking Emergency Remote Teaching and Learning Experiences,2021,Conferences,,,Ms Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html,Senior Lecturer,Accounting
Collaboration and co-creation: Lessons from working in a multi-disciplinary team on the Industry Placement Program,2018,Conferences,,,Ms Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html,Senior Lecturer,Accounting
Excel - a new way to join the dots,2024,Report,,https://diberg.blog/2024/03/11/excel-a-new-way-to-join-the-dots/,Ms Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html,Senior Lecturer,Accounting
