Title,Year,Type,Journal Name,Article URL,Researcher Name,Profile URL,Job Title,Field
Show me your hand: An examination of voting methods at annual general meetings,2024,Contribution to journal,Pacific Basin Finance Journal,https://research-repository.uwa.edu.au/en/publications/show-me-your-hand-an-examination-of-voting-methods-at-annual-gene,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Lower Defeat Thresholds for Minority Shareholders and Corporate Governance: Evidence from the Australian “Two-Strikes” Rule,2023,Contribution to journal,Accounting Review,https://research-repository.uwa.edu.au/en/publications/lower-defeat-thresholds-for-minority-shareholders-and-corporate-g,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Choice of acquisition form in Australia and the post-takeover employment of target firm directors on the acquiring firm board,2019,Contribution to journal,Accounting and Finance,https://research-repository.uwa.edu.au/en/publications/choice-of-acquisition-form-in-australia-and-the-post-takeover-emp,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Web-based experimental economics software: How do they compare to desirable features?,2019,Contribution to journal,Journal of Behavioral and Experimental Finance,https://research-repository.uwa.edu.au/en/publications/web-based-experimental-economics-software-how-do-they-compare-to-,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Comments on Shan and Walter: ‘Towards a Set of Design Principles for Executive Compensation Contracts’,2016,Contribution to journal,Abacus,https://research-repository.uwa.edu.au/en/publications/comments-on-shan-and-walter-towards-a-set-of-design-principles-fo,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Identity construction through role and network position,2016,Contribution to journal,Industrial Marketing Management,https://research-repository.uwa.edu.au/en/publications/identity-construction-through-role-and-network-position,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Evaluating Creeping Acquisitions,2015,Contribution to journal,The Sydney Law Review,https://research-repository.uwa.edu.au/en/publications/evaluating-creeping-acquisitions,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
To scheme or bid? Choice of takeover method and impact on premium,2015,Contribution to journal,Australian Journal of Management,https://research-repository.uwa.edu.au/en/publications/to-scheme-or-bid-choice-of-takeover-method-and-impact-on-premium,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
CEO Compensation from M&As in Australia,2012,Contribution to journal,Journal of Business Finance and Accounting,https://research-repository.uwa.edu.au/en/publications/ceo-compensation-from-mampas-in-australia,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Capital gains taxation and shareholder wealth in takeovers,2010,Contribution to journal,Accounting and Finance,https://research-repository.uwa.edu.au/en/publications/capital-gains-taxation-and-shareholder-wealth-in-takeovers,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Some Commercial Observations on Schemes of Arrangement as We Enter 'the 2010s' - A Commentary,2010,Chapter in Book/Conference paper,,https://research-repository.uwa.edu.au/en/publications/some-commercial-observations-on-schemes-of-arrangement-as-we-ente,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
The Impact of Director Reputation and Performance on the Turnover and Board Seats of Target Firm Directors,2009,Contribution to journal,Journal of Business Finance & Accounting,https://research-repository.uwa.edu.au/en/publications/the-impact-of-director-reputation-and-performance-on-the-turnover,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Agency Costs of Free Cash Flow and Acquisitions,2008,Chapter in Book/Conference paper,,https://research-repository.uwa.edu.au/en/publications/agency-costs-of-free-cash-flow-and-acquisitions,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Board Governance and IPO Performance in the Short-Run and Long-Run,2008,Chapter in Book/Conference paper,,https://research-repository.uwa.edu.au/en/publications/board-governance-and-ipo-performance-in-the-short-run-and-long-ru,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Director Interlocking: What we know and what we are yet to learn,2008,Chapter in Book/Conference paper,,https://research-repository.uwa.edu.au/en/publications/director-interlocking-what-we-know-and-what-we-are-yet-to-learn,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Post-IPO Changes in Board Structures and Long-Run Performance,2008,Chapter in Book/Conference paper,,https://research-repository.uwa.edu.au/en/publications/post-ipo-changes-in-board-structures-and-long-run-performance,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Takeover Waves and Influences of Financial and Economic Factors: A Re-examination using Markov Switching Model,2008,Chapter in Book/Conference paper,,https://research-repository.uwa.edu.au/en/publications/takeover-waves-and-influences-of-financial-and-economic-factors-a,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Taxation of shareholder capital gains and the choice of payment method in takeovers,2008,Contribution to journal,Accounting and Business Research,https://research-repository.uwa.edu.au/en/publications/taxation-of-shareholder-capital-gains-and-the-choice-of-payment-m,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
The role of salience in portfolio formation,2008,Contribution to journal,Pacific-Basin Finance Journal,https://research-repository.uwa.edu.au/en/publications/the-role-of-salience-in-portfolio-formation,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
ASIC actions: Canaries for poor corporate governance?,2007,Chapter in Book/Conference paper,,https://research-repository.uwa.edu.au/en/publications/asic-actions-canaries-for-poor-corporate-governance,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Modeling of Time-Series Merger Activity with a State-Space and Markov Switching Approach,2007,Chapter in Book/Conference paper,,https://research-repository.uwa.edu.au/en/publications/modeling-of-time-series-merger-activity-with-a-state-space-and-ma,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
One Size Does Not Fit All: Small Companies and ASX Corporate Governance Compliance,2007,Contribution to journal,Corporate Ownership & Control,https://research-repository.uwa.edu.au/en/publications/one-size-does-not-fit-all-small-companies-and-asx-corporate-gover,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
The Reach of the Disposition Effect: Large Sample Evidence Across Investor Classes,2007,Contribution to journal,International Review of Finance,https://research-repository.uwa.edu.au/en/publications/the-reach-of-the-disposition-effect-large-sample-evidence-across-,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Market misvaluation driven acquisitions: Contrary Australian evidence,2006,Contribution to journal,Company and Securities Law Journal,https://research-repository.uwa.edu.au/en/publications/market-misvaluation-driven-acquisitions-contrary-australian-evide,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
