Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,2024 JCI,5 Year JIF,% of Citable OA,% of Articles in Citable items,Citable Items
"Journal of Cleaner Production","J CLEAN PROD","ELSEVIER SCI LTD","0959-6526","1879-1786","ENGINEERING, ENVIRONMENTAL","SCIE","368,259","10","1.54","10.7","15.42"%,"93.43"%,"4,107",
"Journal of Cleaner Production","J CLEAN PROD","ELSEVIER SCI LTD","0959-6526","1879-1786","ENVIRONMENTAL SCIENCES","SCIE","368,259","10","1.54","10.7","15.42"%,"93.43"%,"4,107",
"Journal of Cleaner Production","J CLEAN PROD","ELSEVIER SCI LTD","0959-6526","1879-1786","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","SCIE","368,259","10","1.54","10.7","15.42"%,"93.43"%,"4,107",
"Journal of Environmental Management","J ENVIRON MANAGE","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","0301-4797","1095-8630","ENVIRONMENTAL SCIENCES","SCIE","136,450","8.4","1.56","8.6","16.72"%,"92.98"%,"3,776",
"Journal of Business Research","J BUS RES","ELSEVIER SCIENCE INC","0148-2963","1873-7978","BUSINESS","SSCI","86,954","9.8","2.08","12.8","30.12"%,"97.53"%,"526",
"JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY","J PERS SOC PSYCHOL","AMER PSYCHOLOGICAL ASSOC","0022-3514","1939-1315","PSYCHOLOGY, SOCIAL","SSCI","81,673","6.7","2.49","8","17.82"%,"100"%,"119",
"JOURNAL OF BUSINESS ETHICS","J BUS ETHICS","SPRINGER","0167-4544","1573-0697","BUSINESS","SSCI","56,122","6.7","1.87","8.7","41.81"%,"98.36"%,"305",
"JOURNAL OF BUSINESS ETHICS","J BUS ETHICS","SPRINGER","0167-4544","1573-0697","ETHICS","SSCI","56,122","6.7","1.87","8.7","41.81"%,"98.36"%,"305",
"JOURNAL OF FINANCIAL ECONOMICS","J FINANC ECON","ELSEVIER SCIENCE SA","0304-405X","N/A","BUSINESS, FINANCE","SSCI","54,554","12","3.17","13.7","21.72"%,"100"%,"118",
"JOURNAL OF FINANCIAL ECONOMICS","J FINANC ECON","ELSEVIER SCIENCE SA","0304-405X","N/A","ECONOMICS","SSCI","54,554","12","3.17","13.7","21.72"%,"100"%,"118",
"JOURNAL OF APPLIED PSYCHOLOGY","J APPL PSYCHOL","AMER PSYCHOLOGICAL ASSOC","0021-9010","1939-1854","MANAGEMENT","SSCI","52,066","6.1","2.14","10.6","5.22"%,"96.81"%,"94",
"JOURNAL OF APPLIED PSYCHOLOGY","J APPL PSYCHOL","AMER PSYCHOLOGICAL ASSOC","0021-9010","1939-1854","PSYCHOLOGY, APPLIED","SSCI","52,066","6.1","2.14","10.6","5.22"%,"96.81"%,"94",
"JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION","J AM STAT ASSOC","TAYLOR & FRANCIS INC","0162-1459","1537-274X","STATISTICS & PROBABILITY","SCIE","47,731","3","1.56","4.8","23.76"%,"98"%,"150",
"Journal of Statistical Software","J STAT SOFTW","JOURNAL STATISTICAL SOFTWARE","1548-7660","1548-7660","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","46,346","8.1","2.66","10.3","93.44"%,"100"%,"39",
"Journal of Statistical Software","J STAT SOFTW","JOURNAL STATISTICAL SOFTWARE","1548-7660","1548-7660","STATISTICS & PROBABILITY","SCIE","46,346","8.1","2.66","10.3","93.44"%,"100"%,"39",
"JOURNAL OF MANAGEMENT","J MANAGE","SAGE PUBLICATIONS INC","0149-2063","1557-1211","BUSINESS","SSCI","37,269","9","1.92","15.7","25.34"%,"77.88"%,"104",
"JOURNAL OF MANAGEMENT","J MANAGE","SAGE PUBLICATIONS INC","0149-2063","1557-1211","MANAGEMENT","SSCI","37,269","9","1.92","15.7","25.34"%,"77.88"%,"104",
"JOURNAL OF MANAGEMENT","J MANAGE","SAGE PUBLICATIONS INC","0149-2063","1557-1211","PSYCHOLOGY, APPLIED","SSCI","37,269","9","1.92","15.7","25.34"%,"77.88"%,"104",
"JOURNAL OF POLITICAL ECONOMY","J POLIT ECON","UNIV CHICAGO PRESS","0022-3808","1537-534X","ECONOMICS","SSCI","32,443","6.3","2.06","11","5.71"%,"100"%,"93",
"Journal of Retailing and Consumer Services","J RETAIL CONSUM SERV","ELSEVIER SCI LTD","0969-6989","1873-1384","BUSINESS","SSCI","31,322","13.1","2.5","12.8","17.81"%,"99.13"%,"461",
"Journal of Econometrics","J ECONOMETRICS","ELSEVIER SCIENCE SA","0304-4076","1872-6895","ECONOMICS","SSCI","30,272","4","2.49","7.8","22.26"%,"100"%,"179",
"Journal of Econometrics","J ECONOMETRICS","ELSEVIER SCIENCE SA","0304-4076","1872-6895","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","SCIE","30,272","4","2.49","7.8","22.26"%,"100"%,"179",
"Journal of Econometrics","J ECONOMETRICS","ELSEVIER SCIENCE SA","0304-4076","1872-6895","SOCIAL SCIENCES, MATHEMATICAL METHODS","SSCI","30,272","4","2.49","7.8","22.26"%,"100"%,"179",
"JOURNAL OF MARKETING RESEARCH","J MARKETING RES","SAGE PUBLICATIONS INC","0022-2437","1547-7193","BUSINESS","SSCI","29,047","5","1.02","8.1","16.23"%,"100"%,"39",
"JOURNAL OF MARKETING","J MARKETING","SAGE PUBLICATIONS INC","0022-2429","1547-7185","BUSINESS","SSCI","27,402","10.4","2.05","17.9","21.8"%,"100"%,"47",
"JOURNAL OF CONSUMER RESEARCH","J CONSUM RES","OXFORD UNIV PRESS INC","0093-5301","1537-5277","BUSINESS","SSCI","25,303","6.4","1.3","9.4","31.58"%,"100"%,"83",
